Timestamp;wind_speed;wind_direction;air_temperature;global_radiation;controlpump;t_int_pu600;t_ext_pu600;u_rv660;u_rv640;u_rv600;volume.pu600;;;
12.08.2024 19:00;0.08000000;140.00000000;38.43004608;0.10000000;1;46.75513458;47.79551697;0;0;0;5.30509329;;;
12.08.2024 19:10;0.03846831;130.00000000;38.29988861;0.03333300;1;46.03563309;47.02600098;0;0;0;5.30000019;;;
12.08.2024 19:20;0.08000000;120.00000000;38.16048813;0.00000000;1;45.32817841;46.27697754;0;0;0;5.28994846;;;
12.08.2024 19:30;0.09683245;120.00000000;36.83092499;0.00000000;1;44.53502274;45.48858643;0;0;0;5.23528194;;;
12.08.2024 19:40;0.14113151;140.00000000;35.12071991;0.00000000;1;43.71594620;44.70716095;0;0;0;5.19999981;;;
12.08.2024 19:50;0.09087731;120.00000000;34.24082565;0.00000000;1;42.88041306;43.82237625;0;0;0;5.12613392;;;
12.08.2024 20:00;0.42949474;120.00000000;32.01248550;0.00000000;1;41.96803665;42.90002441;0;0;0;5.09999990;;;
12.08.2024 20:10;0.31743085;110.00000000;28.81140709;0.00000000;1;41.00814438;41.97992325;0;0;0;5.05886841;;;
12.08.2024 20:20;0.08000000;110.00000000;27.58009148;0.00000000;1;40.08548737;41.04860306;0;0;0;5.00000000;;;
12.08.2024 20:30;0.15682469;110.00000000;27.09076691;0.00000000;1;39.18779373;40.15129471;0;0;0;4.98647070;;;
12.08.2024 20:40;0.71697390;110.00000000;25.63092995;0.00000000;1;38.29432297;39.25020599;0;0;0;4.90330744;;;
12.08.2024 20:50;0.88851947;100.00000000;24.59382057;0.00000000;1;37.37416077;38.28807831;0;0;0;4.89542770;;;
12.08.2024 21:00;0.99211806;50.00000000;24.01235580;0.00000000;1;36.49641418;37.48867416;0;0;0;4.82430267;;;
12.08.2024 21:10;0.74554449;40.00000000;23.68616486;0.00000000;1;35.65380096;36.65286255;0;0;0;4.79829550;;;
12.08.2024 21:20;1.04159105;40.00000000;23.44613075;0.00000000;1;34.88682175;35.93337631;0;0;0;4.76093435;;;
12.08.2024 21:30;0.72000641;50.00000000;23.25742149;0.00000000;1;34.14282990;35.20596313;0;0;0;4.70333052;;;
