Name;Global Radiation;Global Radiation_1;Global Radiation_2;Interpolated_Global_Radiation
station_id;1420;3287;5906;
date;;;;
2024-08-12 16:50:00+00:00;14.00000;14.70000;14.60000;14.43333
2024-08-12 17:00:00+00:00;12.90000;13.60000;13.00000;13.16667
2024-08-12 17:10:00+00:00;11.40000;12.00000;11.30000;11.56667
2024-08-12 17:20:00+00:00;10.80000;10.30000;9.60000;10.23333
2024-08-12 17:30:00+00:00;9.10000;8.70000;8.10000;8.63333
2024-08-12 17:40:00+00:00;7.50000;7.20000;6.70000;7.13333
2024-08-12 17:50:00+00:00;5.90000;5.70000;5.30000;5.63333
2024-08-12 18:00:00+00:00;4.50000;3.90000;4.10000;4.16667
2024-08-12 18:10:00+00:00;3.40000;2.20000;3.10000;2.90000
2024-08-12 18:20:00+00:00;2.10000;1.20000;2.20000;1.83333
2024-08-12 18:30:00+00:00;1.10000;0.60000;1.20000;0.96667
2024-08-12 18:40:00+00:00;0.80000;0.20000;0.70000;0.56667
2024-08-12 18:50:00+00:00;0.40000;0.00000;0.40000;0.26667
2024-08-12 19:00:00+00:00;0.20000;0.00000;0.10000;0.10000
2024-08-12 19:10:00+00:00;0.10000;0.00000;0.00000;0.03333
2024-08-12 19:20:00+00:00;0.00000;0.00000;0.00000;0.00000
2024-08-12 19:30:00+00:00;0.00000;0.00000;0.00000;0.00000
2024-08-12 19:40:00+00:00;0.00000;0.00000;0.00000;0.00000
2024-08-12 19:50:00+00:00;0.00000;0.00000;0.00000;0.00000
2024-08-12 20:00:00+00:00;0.00000;0.00000;0.00000;0.00000
2024-08-12 20:10:00+00:00;0.00000;0.00000;0.00000;0.00000
2024-08-12 20:20:00+00:00;0.00000;0.00000;0.00000;0.00000
2024-08-12 20:30:00+00:00;0.00000;0.00000;0.00000;0.00000
2024-08-12 20:40:00+00:00;0.00000;0.00000;0.00000;0.00000
2024-08-12 20:50:00+00:00;0.00000;0.00000;0.00000;0.00000
2024-08-12 21:00:00+00:00;0.00000;0.00000;0.00000;0.00000
2024-08-12 21:10:00+00:00;0.00000;0.00000;0.00000;0.00000
2024-08-12 21:20:00+00:00;0.00000;0.00000;0.00000;0.00000
2024-08-12 21:30:00+00:00;0.00000;0.00000;0.00000;0.00000
2024-08-12 21:40:00+00:00;0.00000;0.00000;0.00000;0.00000
2024-08-12 21:50:00+00:00;0.00000;0.00000;0.00000;0.00000
2024-08-12 22:00:00+00:00;0.00000;0.00000;0.00000;0.00000
2024-08-12 22:10:00+00:00;0.00000;0.00000;0.00000;0.00000
2024-08-12 22:20:00+00:00;0.00000;0.00000;0.00000;0.00000
2024-08-12 22:30:00+00:00;0.00000;0.00000;0.00000;0.00000
2024-08-12 22:40:00+00:00;0.00000;0.00000;0.00000;0.00000
2024-08-12 22:50:00+00:00;0.00000;0.00000;0.00000;0.00000
2024-08-12 23:00:00+00:00;0.00000;0.00000;0.00000;0.00000
2024-08-12 23:10:00+00:00;0.00000;0.00000;0.00000;0.00000
2024-08-12 23:20:00+00:00;0.00000;0.00000;0.00000;0.00000
2024-08-12 23:30:00+00:00;0.00000;0.00000;0.00000;0.00000
2024-08-12 23:40:00+00:00;0.00000;0.00000;0.00000;0.00000
2024-08-12 23:50:00+00:00;0.00000;0.00000;0.00000;0.00000
2024-08-13 00:00:00+00:00;0.00000;0.00000;0.00000;0.00000
2024-08-13 00:10:00+00:00;0.00000;0.00000;0.00000;0.00000
2024-08-13 00:20:00+00:00;0.00000;0.00000;0.00000;0.00000
2024-08-13 00:30:00+00:00;0.00000;0.00000;0.00000;0.00000
2024-08-13 00:40:00+00:00;0.00000;0.00000;0.00000;0.00000
2024-08-13 00:50:00+00:00;0.00000;0.00000;0.00000;0.00000
2024-08-13 01:00:00+00:00;0.00000;0.00000;0.00000;0.00000
2024-08-13 01:10:00+00:00;0.00000;0.00000;0.00000;0.00000
2024-08-13 01:20:00+00:00;0.00000;0.00000;0.00000;0.00000
2024-08-13 01:30:00+00:00;0.00000;0.00000;0.00000;0.00000
2024-08-13 01:40:00+00:00;0.00000;0.00000;0.00000;0.00000
2024-08-13 01:50:00+00:00;0.00000;0.00000;0.00000;0.00000
2024-08-13 02:00:00+00:00;0.00000;0.00000;0.00000;0.00000
2024-08-13 02:10:00+00:00;0.00000;0.00000;0.00000;0.00000
2024-08-13 02:20:00+00:00;0.00000;0.00000;0.00000;0.00000
2024-08-13 02:30:00+00:00;0.00000;0.00000;0.00000;0.00000
2024-08-13 02:40:00+00:00;0.00000;0.00000;0.00000;0.00000
2024-08-13 02:50:00+00:00;0.00000;0.00000;0.00000;0.00000
2024-08-13 03:00:00+00:00;0.00000;0.00000;0.00000;0.00000
2024-08-13 03:10:00+00:00;0.00000;0.00000;0.00000;0.00000
2024-08-13 03:20:00+00:00;0.00000;0.00000;0.00000;0.00000
2024-08-13 03:30:00+00:00;0.00000;0.00000;0.00000;0.00000
2024-08-13 03:40:00+00:00;0.00000;0.00000;0.00000;0.00000
2024-08-13 03:50:00+00:00;0.00000;0.00000;0.00000;0.00000
2024-08-13 04:00:00+00:00;0.10000;0.00000;0.10000;0.06667
2024-08-13 04:10:00+00:00;0.20000;0.00000;0.20000;0.13333
2024-08-13 04:20:00+00:00;0.40000;0.00000;0.30000;0.23333
2024-08-13 04:30:00+00:00;0.70000;0.30000;0.60000;0.53333
2024-08-13 04:40:00+00:00;1.30000;0.70000;1.10000;1.03333
2024-08-13 04:50:00+00:00;2.00000;1.30000;1.70000;1.66667
2024-08-13 05:00:00+00:00;3.00000;2.10000;3.10000;2.73333
2024-08-13 05:10:00+00:00;4.00000;3.70000;4.10000;3.93333
2024-08-13 05:20:00+00:00;5.20000;5.40000;5.40000;5.33333
2024-08-13 05:30:00+00:00;6.50000;6.80000;6.70000;6.66667
2024-08-13 05:40:00+00:00;7.90000;8.20000;8.10000;8.06667
2024-08-13 05:50:00+00:00;9.20000;9.80000;9.70000;9.56667
2024-08-13 06:00:00+00:00;10.70000;11.20000;11.30000;11.06667
2024-08-13 06:10:00+00:00;12.30000;13.00000;12.90000;12.73333
2024-08-13 06:20:00+00:00;13.90000;14.60000;14.60000;14.36667
2024-08-13 06:30:00+00:00;15.60000;15.40000;16.20000;15.73333
2024-08-13 06:40:00+00:00;17.10000;16.50000;17.80000;17.13333
2024-08-13 06:50:00+00:00;18.80000;19.60000;19.20000;19.20000
2024-08-13 07:00:00+00:00;20.40000;21.30000;21.30000;21.00000
2024-08-13 07:10:00+00:00;22.10000;22.90000;23.50000;22.83333
2024-08-13 07:20:00+00:00;23.60000;24.40000;24.10000;24.03333
2024-08-13 07:30:00+00:00;25.40000;25.80000;26.00000;25.73333
2024-08-13 07:40:00+00:00;26.80000;27.70000;21.30000;25.26667
2024-08-13 07:50:00+00:00;28.40000;28.80000;26.70000;27.96667
2024-08-13 08:00:00+00:00;29.80000;30.40000;32.10000;30.76667
2024-08-13 08:10:00+00:00;31.30000;32.30000;39.00000;34.20000
2024-08-13 08:20:00+00:00;32.80000;34.60000;40.30000;35.90000
2024-08-13 08:30:00+00:00;34.00000;35.50000;41.30000;36.93333
2024-08-13 08:40:00+00:00;35.10000;36.80000;41.90000;37.93333
2024-08-13 08:50:00+00:00;36.30000;35.20000;32.30000;34.60000
2024-08-13 09:00:00+00:00;37.40000;26.10000;40.90000;34.80000
2024-08-13 09:10:00+00:00;38.50000;39.60000;38.30000;38.80000
2024-08-13 09:20:00+00:00;39.70000;40.40000;42.50000;40.86667
2024-08-13 09:30:00+00:00;40.90000;40.20000;42.70000;41.26667
2024-08-13 09:40:00+00:00;41.90000;41.10000;43.30000;42.10000
2024-08-13 09:50:00+00:00;42.80000;42.30000;43.90000;43.00000
2024-08-13 10:00:00+00:00;43.60000;43.20000;44.70000;43.83333
2024-08-13 10:10:00+00:00;44.40000;44.40000;45.40000;44.73333
2024-08-13 10:20:00+00:00;45.20000;45.40000;46.10000;45.56667
2024-08-13 10:30:00+00:00;45.70000;45.70000;46.60000;46.00000
2024-08-13 10:40:00+00:00;46.20000;46.80000;47.20000;46.73333
2024-08-13 10:50:00+00:00;46.50000;46.30000;47.90000;46.90000
2024-08-13 11:00:00+00:00;46.80000;46.10000;48.20000;47.03333
2024-08-13 11:10:00+00:00;47.20000;46.70000;48.50000;47.46667
2024-08-13 11:20:00+00:00;47.30000;46.90000;48.60000;47.60000
2024-08-13 11:30:00+00:00;47.40000;47.10000;48.70000;47.73333
2024-08-13 11:40:00+00:00;47.50000;47.90000;48.80000;48.06667
2024-08-13 11:50:00+00:00;47.40000;48.00000;48.90000;48.10000
2024-08-13 12:00:00+00:00;47.40000;48.30000;48.60000;48.10000
2024-08-13 12:10:00+00:00;47.20000;47.30000;48.60000;47.70000
2024-08-13 12:20:00+00:00;47.10000;47.70000;48.30000;47.70000
2024-08-13 12:30:00+00:00;46.80000;35.40000;47.80000;43.33333
2024-08-13 12:40:00+00:00;46.50000;16.60000;47.30000;36.80000
2024-08-13 12:50:00+00:00;46.00000;5.80000;46.80000;32.86667
2024-08-13 13:00:00+00:00;45.40000;6.80000;46.40000;32.86667
2024-08-13 13:10:00+00:00;44.80000;8.60000;45.50000;32.96667
2024-08-13 13:20:00+00:00;44.20000;8.40000;45.00000;32.53333
2024-08-13 13:30:00+00:00;43.60000;7.10000;44.50000;31.73333
2024-08-13 13:40:00+00:00;42.50000;6.60000;35.10000;28.06667
2024-08-13 13:50:00+00:00;40.80000;6.30000;35.40000;27.50000
2024-08-13 14:00:00+00:00;33.60000;7.10000;32.30000;24.33333
2024-08-13 14:10:00+00:00;44.20000;8.80000;36.00000;29.66667
2024-08-13 14:20:00+00:00;44.90000;31.10000;35.40000;37.13333
2024-08-13 14:30:00+00:00;40.50000;42.20000;37.60000;40.10000
2024-08-13 14:40:00+00:00;29.40000;38.00000;35.50000;34.30000
2024-08-13 14:50:00+00:00;19.00000;36.20000;34.50000;29.90000
2024-08-13 15:00:00+00:00;15.20000;33.90000;32.70000;27.26667
